"CODAUTO","CPRO","CMUN","DC","NOMBRE","SUPERFICIE","HABITANTES"
"10","12","004","3","Alcalà de Xivert",167.56,6680
"08","02","007","7","Alcalá del Júcar",146.82,1170
"02","22","015","2","Alcalá del Obispo",47.85,318
"01","41","005","5","Alcalá del Río",82.57,12029
"01","11","002","7","Alcalá del Valle",46.89,5046
"01","23","002","6","Alcalá la Real",261.36,21605
"10","03","006","7","Alcalalí",14.4,1278
"02","22","016","5","Alcampell",58,631
"17","26","007","0","Alcanadre",31.08,643
"09","43","004","3","Alcanar",47.1,9418
"09","25","010","0","Alcanó",21.12,235
"11","10","008","9","Alcántara",551.99,1468
"14","30","005","0","Alcantarilla",16.24,42048
"10","46","016","8","Alcàntera de Xúquer",3.33,1291
"08","16","009","1","Alcantud",57.63,51
"07","49","003","4","Alcañices",54.98,1076
"02","44","013","1","Alcañiz",472.12,15947
"08","45","005","4","Alcañizo",13.51,274
"01","14","003","9","Alcaracejos",175.87,1486
"08","02","008","3","Alcaraz",370.53,1351
"09","25","011","7","Alcarràs",114.65,9514
"10","46","015","5","Alcàsser",9,10039
"01","29","002","2","Alcaucín",45.19,2230
"01","23","003","2","Alcaudete",236.84,10498
"08","45","006","7","Alcaudete de la Jara",156.12,1648
"08","13","005","2","Alcázar de San Juan",666.5,30576
"08","16","010","5","Alcázar del Rey",46.5,152
"07","47","005","3","Alcazarén",48.04,635
"14","30","902","7","Alcázares, Los",20.06,16138
"08","13","006","5","Alcoba",307.1,583
"13","28","006","6","Alcobendas",44.98,117040
"08","19","009","6","Alcocer",61.19,313
"10","03","007","3","Alcocer de Planes",4.39,230
"07","09","010","2","Alcocero de Mola",8.33,32
"08","16","011","2","Alcohujate",27.29,28
"01","04","007","8","Alcolea",67.52,825
"08","13","007","1","Alcolea de Calatrava",70.72,1409
"02","22","017","1","Alcolea de Cinca",83.24,1155
"08","19","010","0","Alcolea de las Peñas",16.66,13
"08","45","007","3","Alcolea de Tajo",64.47,810
"08","19","011","7","Alcolea del Pinar",113.35,320
"01","41","006","8","Alcolea del Río",50.17,3373
"10","03","008","9","Alcoleja",14.56,173
"09","25","012","2","Alcoletge",16.41,3420
"11","10","009","2","Alcollarín",79.92,289
"07","42","006","3","Alconaba",52.45,176
"07","37","012","9","Alconada",21.26,149
"07","40","005","8","Alconada de Maderuelo",12.07,25
"11","06","007","4","Alconchel",294.95,1680
"02","50","015","3","Alconchel de Ariza",34.85,62
"08","16","012","7","Alconchel de la Estrella",42.94,88
"11","06","008","0","Alconera",32.71,744
"01","04","008","4","Alcóntar",93.91,505
"10","12","005","6","Alcora, l'",95.18,10405
"13","28","007","2","Alcorcón",33.73,170514
"02","44","014","6","Alcorisa",121.2,3266
"08","19","013","8","Alcoroches",32.25,126
"09","43","005","6","Alcover",46.26,5064
"10","03","009","2","Alcoy/Alcoi",129.86,58994
"02","22","018","7","Alcubierre",115.31,360
"07","42","007","9","Alcubilla de Avellaneda",60.56,104
"07","42","008","5","Alcubilla de las Peñas",86.06,57
"07","49","004","9","Alcubilla de Nogales",13.67,117
"08","13","008","7","Alcubillas",47.46,477
"10","46","018","0","Alcublas",43.51,628
"04","07","003","3","Alcúdia",60.02,20241
"10","46","020","7","Alcúdia de Crespins, l'",5.17,5157
"01","04","009","7","Alcudia de Monteagud",15.52,152
"10","12","006","9","Alcudia de Veo",30.66,190
"10","46","019","3","Alcúdia, l'",23.67,12009
"11","10","010","6","Alcuéscar",108.61,2593
"10","46","021","4","Aldaia",16.05,31864
"07","47","006","6","Aldea de San Miguel",19.93,224
"05","35","020","6","Aldea de San Nicolás, La",123.71,7504
"11","10","012","8","Aldea del Cano",28.69,600
"13","28","008","8","Aldea del Fresno",51.78,2838
"07","37","015","3","Aldea del Obispo",41.92,243
"11","10","013","4","Aldea del Obispo, La",37.85,303
"08","13","009","0","Aldea del Rey",154.32,1657
"08","45","008","9","Aldea en Cabo",25.5,163
"07","40","012","2","Aldea Real",25.28,282
"09","43","904","4","Aldea, L'",30.17,4160
"11","10","011","3","Aldeacentenera",110.56,578
"07","37","013","5","Aldeacipreste",37.17,109
"07","37","014","0","Aldeadávila de la Ribera",46.18,1224
"07","42","009","8","Aldealafuente",45.72,92
"07","40","006","1","Aldealcorvo",6.08,22
"07","37","016","6","Aldealengua",5.48,664
"07","40","007","7","Aldealengua de Pedraza",35.18,72
"07","40","008","3","Aldealengua de Santa María",19.73,63
"07","42","010","2","Aldealices",6.33,36
"07","42","011","9","Aldealpozo",11.87,17
"07","42","012","4","Aldealseñor",9.29,31
"07","47","007","2","Aldeamayor de San Martín",53.56,5524
"08","45","009","2","Aldeanueva de Barbarroya",91.8,520
"17","26","008","6","Aldeanueva de Ebro",39.08,2761
"07","37","017","2","Aldeanueva de Figueroa",55.64,254
"08","19","015","6","Aldeanueva de Guadalajara",16.06,86
"07","40","009","6","Aldeanueva de la Serrezuela",20.39,44
"07","37","018","8","Aldeanueva de la Sierra",14.51,115
"11","10","014","9","Aldeanueva de la Vera",37.6,2066
"08","45","010","6","Aldeanueva de San Bartolomé",34.61,427
"07","05","007","1","Aldeanueva de Santa Cruz",8.48,118
"11","10","015","2","Aldeanueva del Camino",20.05,735
"07","40","010","0","Aldeanueva del Codonal",22.09,117
"01","23","004","7","Aldeaquemada",120.28,481
"07","37","019","1","Aldearrodrigo",8.41,143
"07","37","020","5","Aldearrubia",32.84,480
"07","05","008","7","Aldeaseca",24.25,238
"07","37","021","2","Aldeaseca de Alba",17.58,70
"07","37","022","7","Aldeaseca de la Frontera",24.3,261
"07","40","013","8","Aldeasoña",18.62,56
"07","37","023","3","Aldeatejada",31.51,2064
"07","37","024","8","Aldeavieja de Tormes",12.85,104
"07","40","014","3","Aldehorno",11.92,53
"11","10","016","5","Aldehuela de Jerte",11.76,364
"07","37","025","1","Aldehuela de la Bóveda",70.65,275
"02","50","016","6","Aldehuela de Liestos",38.04,48
"07","42","013","0","Aldehuela de Periáñez",27.38,41
"07","37","026","4","Aldehuela de Yeltes",60.46,190
"07","40","015","6","Aldehuela del Codonal",13.42,26
"07","05","010","4","Aldehuela, La",17.15,162
"07","42","014","5","Aldehuelas, Las",37.79,64
"01","18","010","7","Aldeire",70.07,615
"07","40","016","9","Aldeonte",20.56,55
"09","43","006","9","Aldover",20.23,882
"14","30","006","3","Aledo",49.54,1022
"16","20","005","2","Alegia",7.68,1722
"16","01","001","4","Alegría-Dulantzi",19.95,2876
"09","43","007","5","Aleixar, L'",26.14,873
"09","08","003","9","Alella",9.7,9801
"07","42","015","8","Alentisque",34.97,33
"02","22","019","0","Alerre",8.94,199
"17","26","009","9","Alesanco",17.17,505
"17","26","010","3","Alesón",6.49,99
"01","18","011","4","Alfacar",16.73,5400
"10","46","022","9","Alfafar",10.04,20890
"10","03","010","6","Alfafara",19.78,410
"02","50","017","2","Alfajarín",138.3,2315
"02","44","016","2","Alfambra",122.44,508
"02","50","018","8","Alfamén",102.04,1446
"02","22","020","4","Alfántega",8.76,130
"09","43","008","1","Alfara de Carles",64.02,377
"10","46","024","0","Alfara de la Baronia",11.71,557
"10","46","025","3","Alfara del Patriarca",1.98,3310
"07","49","005","2","Alfaraz de Sayago",73.02,129
"01","29","003","8","Alfarnate",34,1069
"01","29","004","3","Alfarnatejo",20.36,377
"17","26","011","0","Alfaro",194.12,9476
"10","46","026","6","Alfarp",20.58,1544
"09","25","013","8","Alfarràs",11.28,2797
"10","46","027","2","Alfarrasí",6.38,1225
"10","03","011","3","Alfàs del Pi, l'",19.26,20482
"10","46","023","5","Alfauir",6.22,437
"09","25","014","3","Alfés",32,312
"10","12","007","5","Alfondeguilla",28.33,866
"09","43","009","4","Alforja",38.14,1801
"02","50","019","1","Alforque",10.62,68
"12","27","002","3","Alfoz",77.5,1688
"07","09","011","9","Alfoz de Bricia",52.14,76
"06","39","001","5","Alfoz de Lloredo",46.78,2416
"07","09","907","0","Alfoz de Quintanadueñas",41.51,2114
"07","09","012","4","Alfoz de Santa Gadea",34.33,101
"01","41","007","4","Algaba, La",17.69,16374
"07","24","002","1","Algadefe",15.33,289
"04","07","004","8","Algaida",89.78,5642
"01","41","008","0","Algámitas",20.42,1255
"01","11","003","3","Algar",26.61,1413
"08","19","016","9","Algar de Mesa",23.83,55
"10","46","028","8","Algar de Palancia",13.15,481
"01","18","012","9","Algarinejo",92.11,2520
"08","16","013","3","Algarra",41.91,26
"01","29","005","6","Algarrobo",9.74,6444
"01","29","006","9","Algatocín",19.71,793
"01","11","004","8","Algeciras",87.96,121957
"10","46","029","1","Algemesí",41.3,27331
"09","25","015","6","Algerri",54.41,386
"13","28","009","1","Algete",37.88,20611
"10","46","030","5","Algímia d'Alfara",14.45,1011
"10","12","008","1","Algimia de Almonacid",20.33,263
"10","46","031","2","Alginet",24.07,13380
"01","11","005","1","Algodonales",134.05,5550
"07","49","006","5","Algodre",18.18,148
"08","19","017","5","Algora",46.95,70
"10","03","012","8","Algorfa",18.47,2935
"09","25","016","9","Alguaire",50.26,2971
"14","30","007","9","Alguazas",23.84,9638
"10","03","013","4","Algueña",18.47,1336
"01","04","010","1","Alhabia",16.39,671
"01","04","011","8","Alhama de Almería",26.24,3641
"02","50","020","5","Alhama de Aragón",31.14,1020
"01","18","013","5","Alhama de Granada",419.61,5979
"14","30","008","5","Alhama de Murcia",313.03,22077
"08","13","010","4","Alhambra",580.09,1002
"01","29","007","5","Alhaurín de la Torre",82.7,40345
"01","29","008","1","Alhaurín el Grande",73.1,24705
"01","18","014","0","Alhendín",50.56,9349
"08","19","018","1","Alhóndiga",19.26,157
"11","10","017","1","Alía",599.51,834
"02","44","017","8","Aliaga",193.08,341
"08","16","014","8","Aliaguilla",105.91,642
"10","03","014","9","Alicante/Alacant",201.27,334887
"01","04","012","3","Alicún",5.87,206
"01","18","015","3","Alicún de Ortega",22.83,480
"07","24","003","7","Alija del Infantado",52.31,647
"09","25","017","5","Alins",185.03,276
"09","43","010","8","Alió",7.22,439
"08","19","019","4","Alique",10.92,14
"11","10","018","7","Aliseda",80.51,1835
"07","42","016","1","Aliud",17.65,20
"01","21","002","5","Aljaraque",33.82,21260
"11","06","009","3","Aljucén",19.07,264
"16","20","006","5","Alkiza",11.93,367
"03","33","001","9","Allande",342.24,1648
"12","32","001","3","Allariz",85.96,6188
"02","44","021","8","Allepuz",67.26,125
"03","33","002","4","Aller",375.89,10613
"15","31","011","6","Allín/Allin",41.85,872
"15","31","012","1","Allo",37.03,968
"02","44","022","3","Alloza",81.6,558
"02","44","023","9","Allueva",18.65,26
"09","25","019","4","Almacelles",48.86,6791
"01","29","009","4","Almáchar",14.4,1811
"08","13","011","1","Almadén",239.64,5312
"01","41","009","3","Almadén de la Plata",255.78,1355
"08","13","012","6","Almadenejos",102.88,415
"08","19","020","8","Almadrones",21.03,57
"08","13","013","2","Almagro",249.95,8896
"07","42","017","7","Almajano",9.9,187
"07","42","018","3","Almaluez",159.11,132
"08","02","009","6","Almansa",531.82,24419
"07","24","004","2","Almanza",141.99,574
"11","10","019","0","Almaraz",33.91,1744
"07","49","007","1","Almaraz de Duero",45.61,407
"08","16","015","1","Almarcha, La",64.36,365
"01","29","010","8","Almargen",34.37,1954
"07","42","019","6","Almarza",101.13,591
"17","26","012","5","Almarza de Cameros",28.11,36
"10","46","032","7","Almàssera",2.74,7349
"10","12","009","4","Almassora",32.97,26270
"09","25","020","8","Almatret",56.5,307
"07","42","020","0","Almazán",166.53,5489
"07","42","021","7","Almazul",67.86,67
"10","12","010","8","Almedíjar",20.9,254
"08","13","014","7","Almedina",55.9,516
"01","14","004","4","Almedinilla",55.52,2391
"01","18","016","6","Almegíjar",29.42,365
"07","49","008","7","Almeida de Sayago",76.37,452
"09","25","021","5","Almenar",66.56,3398
"07","42","022","2","Almenar de Soria",105.99,228
"10","12","011","5","Almenara",27.63,5998
"07","47","008","8","Almenara de Adaja",17.16,22
"07","37","027","0","Almenara de Tormes",19.29,262
"07","37","028","6","Almendra",39.07,146
"11","06","010","7","Almendral",67.5,1232
"08","45","011","3","Almendral de la Cañada",33.64,313
"11","06","011","4","Almendralejo",164.25,33474
"01","21","003","1","Almendro, El",170.61,826
"08","16","016","4","Almendros",63.11,247
"01","41","010","7","Almensilla",14.09,6080
"01","04","013","9","Almería",295.72,198533
"10","46","033","3","Almiserà",7.44,262
"02","50","021","2","Almochuel",32,25
"01","04","014","4","Almócita",30.83,169
"08","13","015","0","Almodóvar del Campo",1208.25,6027
"08","16","017","0","Almodóvar del Pinar",95.03,390
"01","14","005","7","Almodóvar del Río",172.53,7937
"01","29","011","5","Almogía",162.89,3715
"08","19","021","5","Almoguera",119.42,1289
"02","44","018","4","Almohaja",25.55,16
"11","10","020","4","Almoharín",93.39,1811
"10","46","034","8","Almoines",2.12,2414
"02","50","022","7","Almolda, La",131.33,553
"02","50","023","3","Almonacid de la Cuba",55.21,243
"02","50","024","8","Almonacid de la Sierra",54.12,735
"08","45","012","8","Almonacid de Toledo",95.58,790
"08","19","022","0","Almonacid de Zorita",44.9,685
"08","16","018","6","Almonacid del Marquesado",47.15,425
"01","21","004","6","Almonaster la Real",321.29,1819
"01","21","005","9","Almonte",859.21,24191
"10","03","015","2","Almoradí",42.69,20803
"08","45","013","4","Almorox",64.77,2105
"09","43","011","5","Almoster",6.03,1351
"10","03","016","5","Almudaina",8.82,113
"02","22","021","1","Almudévar",201.49,2379
"02","50","025","1","Almunia de Doña Godina, La",56.65,7951
"02","22","022","6","Almunia de San Juan",35.66,658
"02","22","023","2","Almuniente",37.56,460
"01","18","017","2","Almuñécar",83.36,26514
"08","13","016","3","Almuradiel",66.16,772
"10","46","035","1","Almussafes",10.76,8967
"02","44","019","7","Alobras",30.72,64
"08","19","023","6","Alocén",17.88,172
"16","48","912","4","Alonsotegi",20.16,2907
"01","29","012","0","Álora",169.62,12985
"09","25","022","0","Alòs de Balaguer",69.08,130
"01","21","006","2","Alosno",191.07,2195
"08","19","024","1","Alovera",13.65,12735
"01","29","013","6","Alozaina",33.85,2051
"09","17","006","2","Alp",44.06,1580
"01","29","014","1","Alpandeire",31.24,260
"07","42","023","8","Alpanseque",54.62,62
"02","50","026","4","Alpartir",32.54,555
"13","28","010","5","Alpedrete",12.64,14575
"09","08","004","4","Alpens",13.81,266
"02","44","020","1","Alpeñés",28.62,22
"08","02","010","0","Alpera",178.47,2265
"09","25","023","6","Alpicat",15.25,6255
"10","46","036","4","Alpuente",138.33,633
"01","18","904","3","Alpujarra de la Sierra",68.53,989
"10","03","017","1","Alqueria d'Asnar, l'",1.08,493
"10","46","037","0","Alqueria de la Comtessa, l'",2.15,1476
"10","12","901","8","Alqueries, les/Alquerías del Niño Perdido",12.61,4449
"02","22","024","7","Alquézar",32.36,303
